,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2247,7.251152606016913,51.92108344551907,-58.38963472737516,3.2551843815562758,27.65486268246919,-0.10406207601013921,7.421228489204729,2.150974067021175,-0.3852940888950888,5.8746826535309875,-0.1620734157354133,-90.98111505737617,-3.904282816176612,-3.260125286351218,4.1885883092864304,1.5998316549950522,14.902995102379887,3.006736931042609,-1.0960697436229518
816,561.5463138890346,49.38319696352336,-82.18026354477793,212.20869424122066,14.874881997618063,0.573038852532687,-0.45475724337264817,-11.507246425512019,-0.6738950427539683,-0.48290006498964555,2.5738195524168344,3.9777014251801166,57.2946134226905,59.415319462778804,-14.18176950435193,-58.28507767092063,1.7312634737490247,-0.17323695507005502,4.866928189143181
2153,3.17699093217465,4.047675201262869,198.12269673738922,-0.03179475039777402,-5.6091598685263175,0.2706879264966433,9.013147736812396,4.761844063304718,-0.16220897579641813,5.0024549811214145,0.31391699474333384,98.43443496233003,-3.4422287521609096,-50.922848049589135,47.70486828472631,41.96865038580405,21.37781402345787,-4.523994711039851,-1.1239494838170585
1162,4.9212015110128,37.843247603257446,-64.06534582780401,-2.396583577600137,20.127733079002518,-1.303227069770024,7.597262652065828,2.5819905706944044,0.20252307306520498,-1.8084560517869968,-1.5314718294874388,-65.14510934269141,-3.358735717204007,-41.952477117657644,41.55404519034456,30.4154409156302,18.108486645270755,1.4464561845978436,-0.1842026805192935
480,524.8277533205201,51.04687622056818,-51.28355905192453,202.4863373679312,29.32354424177276,1.27092876547507,2.092075760477656,-9.902367799713236,-1.9787566885664991,-0.1347212584293965,-0.7655194240869037,-84.41032873011969,60.19412679609381,57.161505777515174,-14.775510447813327,-61.65044415401924,1.0701607274491969,2.4083229067630922,3.3416887483239344
1477,60.9941163998478,45.842673515259264,-77.76411721751236,-0.6808324394308021,23.22676507431745,2.4956160028036503,-4.039101699352003,-2.2411868237312347,2.3070548731543483,3.7937889091155883,-0.24549604500878794,-84.76288132866794,0.37531674298636464,-15.689293598535125,13.123215473809799,7.386210458673159,15.583923817744168,2.4408129636092926,-1.2282666114130851
2402,33.609481298759256,34.917267053913086,-77.54009402992813,-2.863447532109913,9.765889420641725,1.6349248295553769,2.501701857733183,2.773996455489506,-3.1825260715203574,6.516125407592074,-0.4301390721139273,-69.69572021139754,-0.9397016582133072,-58.1767147345744,55.14489529095049,57.01892335684057,25.87316024773875,1.8010479503453807,-2.156563641976784
1575,2.398552791045338,21.100879840633574,-25.463007175726744,-0.7462142654375248,-7.311858688066148,-2.142307828103844,0.013104595105246197,2.7541348647550707,2.6933685959841718,15.737946224942075,-0.8280251682404324,4.108504608979702,-0.3285076284505628,-56.79812118660381,55.62075226185412,53.04077359897828,24.470025884283878,-0.10536201206620108,-3.3241126128488006
215,513.6371904227116,41.20697536481091,-79.89294979158976,203.94061811161546,0.41775077043383857,0.7281500263228006,0.08260803740581711,-16.741683877011646,1.1452330344324282,-0.31433475326962595,-1.3926987267438826,27.57302304726857,37.588986412627285,57.60752780951776,-9.968742043061367,-51.635668424122066,6.1842790333553594,-0.6128323863009514,3.0825489043020933
2212,466.5892696568131,49.80115392567518,-80.63926367621613,190.8960532593374,11.233593640427204,-2.9754975387451363,-2.260859304860345,-14.834601526909633,-1.1771771182019652,-3.8590251798488815,-3.3312741550403726,7.9620159475011585,47.21342888263401,53.41207822213719,-12.215399152431834,-41.45930372347728,9.131751801711752,-0.1635905030975466,1.5670857585139482
1889,-1.2467572643151883,53.210443337444964,-79.45588234809861,-6.551376241911295,29.23443297266351,-1.9377199229508544,-2.0755885428157783,-6.754944412518581,-0.8191743199589647,1.5307122414730099,0.30100947460800387,-95.62464670486443,2.1718150238773184,-5.847629540221243,6.614243653176596,0.6765002925984454,14.805719062402794,4.274494656902126,0.4173239520312669
1674,396.63782370628485,42.00391748072621,-71.03867347757615,174.0397687458598,-1.5897251497386309,-0.13185693310426802,-2.7004653046556513,-13.20024318135141,1.632421374182912,1.1342061467314712,3.008007894113482,51.62122881696843,44.62627936135025,48.69785121221127,-12.21478823924176,-39.09241356524201,9.36115779491873,-1.1716966452084112,1.3303413148611631
1943,513.8641218921907,50.77392009559652,-62.400578579814486,201.43173014583886,25.19573323044932,0.2350746416530435,2.767007261645519,-4.765755907696652,-4.210736344232061,-1.0692795772507653,-0.4502173924036662,-38.33983347897349,81.61745671154597,57.127676264917326,-20.72318152992998,-52.582012757841724,5.120035449846449,0.7527115238270795,2.6078398431674774
2005,511.09730879688135,49.55359921467664,-73.96290590554871,189.61433442682997,26.285909316977992,-0.5186105663843584,0.7136939453155307,-16.30395800637703,-1.2133536238775913,0.040015116062380576,-2.247251286193093,-53.44958800597324,47.01848316874508,53.73932388146398,-11.340089309569022,-41.84635149064411,9.176265307782769,1.1474149303759453,1.6142542816717842
2278,435.1911643436525,32.88426239915628,-53.28518087413,189.66523748265197,-6.438162292298662,1.5060307348770194,1.1968115590880684,-11.440207166699949,-0.5208191613616293,1.1376999277474067,-1.0514806843485223,83.59721705227776,50.16075703819498,53.39642760346775,-11.666966300650197,-46.63591931440226,7.701471946668921,-2.7341593905183803,2.1620511171667056
695,0.7991642360600555,26.87787958036403,-57.04176715281739,-1.6446688695219498,-6.2181729977335065,-1.4865321972170826,-1.1488781896151852,2.409054699227656,-0.7230640581574127,4.586184254694575,-0.26691904391012,-19.47188776856609,-0.9974557970916635,-50.8130249008949,50.59623195730757,43.26782291683434,21.191504974737914,0.3926801825151285,-1.3620992727452623
